Year_Make_Model,Vehicle Type,Base MSRP,Electric Range
2021 BMW 330E,PHEV,0.0,20.0
2021 BMW 530E,PHEV,0.0,18.0
2021 BMW 745E,PHEV,0.0,16.0
2021 BMW I3,BEV,0.0,0.0
2021 BMW I3,PHEV,0.0,153.0
2021 BMW X3,PHEV,0.0,17.0
2021 BMW X5,PHEV,0.0,30.0
2021 CHEVROLET BOLT EV,BEV,0.0,0.0
2021 CHRYSLER PACIFICA,PHEV,0.0,32.0
2021 FORD ESCAPE,PHEV,0.0,38.0
2021 FORD MUSTANG MACH-E,BEV,0.0,0.0
2021 HONDA CLARITY,PHEV,0.0,47.0
2021 HYUNDAI IONIQ,BEV,0.0,0.0
2021 HYUNDAI IONIQ,PHEV,0.0,29.0
2021 HYUNDAI KONA,BEV,0.0,0.0
2021 JEEP WRANGLER,PHEV,0.0,21.0
2021 KIA NIRO,BEV,0.0,0.0
2021 KIA NIRO,PHEV,0.0,26.0
2021 LAND ROVER RANGE ROVER,PHEV,0.0,19.0
2021 LAND ROVER RANGE ROVER SPORT,PHEV,0.0,19.0
2021 LINCOLN AVIATOR,PHEV,0.0,21.0
2021 LINCOLN CORSAIR,PHEV,0.0,28.0
2021 MINI COUNTRYMAN,PHEV,0.0,17.0
2021 MINI HARDTOP,BEV,0.0,110.0
2021 MITSUBISHI OUTLANDER,PHEV,0.0,24.0
2021 NISSAN LEAF,BEV,0.0,0.0
2021 POLESTAR PS2,BEV,0.0,233.0
2021 PORSCHE CAYENNE,PHEV,0.0,16.0
2021 PORSCHE PANAMERA,PHEV,0.0,18.0
2021 PORSCHE TAYCAN,BEV,0.0,0.0
2021 TESLA MODEL 3,BEV,0.0,0.0
2021 TESLA MODEL S,BEV,0.0,0.0
2021 TESLA MODEL X,BEV,0.0,0.0
2021 TESLA MODEL Y,BEV,0.0,0.0
2021 TOYOTA PRIUS PRIME (PHEV),PHEV,0.0,25.0
2021 TOYOTA RAV4 PRIME (PHEV),PHEV,0.0,42.0
2021 VOLKSWAGEN ID.4,BEV,0.0,0.0
2021 VOLVO S60,PHEV,0.0,22.0
2021 VOLVO V60,PHEV,0.0,22.0
2021 VOLVO XC40,BEV,0.0,0.0
2021 VOLVO XC60,PHEV,0.0,18.0
2021 VOLVO XC90,PHEV,0.0,18.0
2022 AUDI E-TRON,BEV,0.0,0.0
2022 AUDI E-TRON GT,BEV,0.0,0.0
2022 AUDI E-TRON SPORTBACK,BEV,0.0,0.0
2022 AUDI Q4,BEV,0.0,0.0
2022 AUDI Q5,PHEV,0.0,23.0
2022 AUDI RS E-TRON GT,BEV,0.0,0.0
2022 BENTLEY FLYING SPUR,PHEV,0.0,21.0
2022 BMW 330E,PHEV,0.0,22.0
2022 BMW 530E,PHEV,0.0,18.0
2022 BMW 745LE,PHEV,0.0,16.0
2022 BMW I4,BEV,0.0,0.0
2022 BMW IX,BEV,0.0,0.0
2022 BMW X5,PHEV,0.0,30.0
2022 CHEVROLET BOLT EUV,BEV,0.0,0.0
2022 CHEVROLET BOLT EV,BEV,0.0,0.0
2022 CHRYSLER PACIFICA,PHEV,0.0,32.0
2022 FORD ESCAPE,PHEV,0.0,38.0
2022 FORD F-150,BEV,0.0,0.0
2022 FORD MUSTANG MACH-E,BEV,0.0,0.0
2022 FORD TRANSIT,BEV,0.0,0.0
2022 HYUNDAI IONIQ,PHEV,0.0,29.0
2022 HYUNDAI IONIQ 5,BEV,0.0,0.0
2022 HYUNDAI KONA,BEV,0.0,0.0
2022 HYUNDAI SANTA FE,PHEV,0.0,31.0
2022 HYUNDAI TUCSON,PHEV,0.0,33.0
2022 JAGUAR I-PACE,BEV,0.0,0.0
2022 JEEP GRAND CHEROKEE,PHEV,0.0,25.0
2022 JEEP WRANGLER,PHEV,0.0,21.0
2022 KIA EV6,BEV,0.0,0.0
2022 KIA NIRO,BEV,0.0,0.0
2022 KIA NIRO,PHEV,0.0,26.0
2022 KIA SORENTO,PHEV,0.0,32.0
2022 LEXUS NX,PHEV,0.0,37.0
2022 LINCOLN AVIATOR,PHEV,0.0,21.0
2022 LINCOLN CORSAIR,PHEV,0.0,28.0
2022 LUCID AIR,BEV,0.0,0.0
2022 MAZDA MX-30,BEV,0.0,0.0
2022 MERCEDES-BENZ EQB-CLASS,BEV,0.0,0.0
2022 MERCEDES-BENZ EQS-CLASS SEDAN,BEV,0.0,0.0
2022 MINI COUNTRYMAN,PHEV,0.0,17.0
2022 MINI HARDTOP,BEV,0.0,0.0
2022 MITSUBISHI OUTLANDER,PHEV,0.0,24.0
2022 NISSAN LEAF,BEV,0.0,0.0
2022 POLESTAR PS2,BEV,0.0,0.0
2022 PORSCHE CAYENNE,PHEV,0.0,14.0
2022 PORSCHE PANAMERA,PHEV,0.0,19.0
2022 PORSCHE TAYCAN,BEV,0.0,0.0
2022 RIVIAN EDV,BEV,0.0,0.0
2022 RIVIAN R1S,BEV,0.0,0.0
2022 RIVIAN R1T,BEV,0.0,0.0
2022 TESLA MODEL 3,BEV,0.0,0.0
2022 TESLA MODEL S,BEV,0.0,0.0
2022 TESLA MODEL X,BEV,0.0,0.0
2022 TESLA MODEL Y,BEV,0.0,0.0
2022 TOYOTA PRIUS PRIME (PHEV),PHEV,0.0,25.0
2022 TOYOTA RAV4 PRIME (PHEV),PHEV,0.0,42.0
2022 VOLKSWAGEN ID.4,BEV,0.0,0.0
2022 VOLVO C40,BEV,0.0,0.0
2022 VOLVO S60,PHEV,0.0,22.0
2022 VOLVO V60,PHEV,0.0,22.0
2022 VOLVO XC40,BEV,0.0,0.0
2022 VOLVO XC60,PHEV,0.0,18.0
2022 VOLVO XC90,PHEV,0.0,18.0
2023 AUDI E-TRON,BEV,0.0,0.0
2023 AUDI E-TRON GT,BEV,0.0,0.0
2023 AUDI Q4,BEV,0.0,0.0
2023 AUDI Q5 E,PHEV,0.0,23.0
2023 AUDI RS E-TRON GT,BEV,0.0,0.0
2023 BENTLEY BENTAYGA,PHEV,0.0,23.0
2023 BMW 330E,PHEV,0.0,20.0
2023 BMW 530E,PHEV,0.0,18.0
2023 BMW I4,BEV,0.0,0.0
2023 BMW I7,BEV,0.0,0.0
2023 BMW IX,BEV,0.0,0.0
2023 BMW X5,PHEV,0.0,30.0
2023 BRIGHTDROP ZEVO,BEV,0.0,0.0
2023 CADILLAC LYRIQ,BEV,0.0,0.0
2023 CHEVROLET BOLT EUV,BEV,0.0,0.0
2023 CHEVROLET BOLT EV,BEV,0.0,0.0
2023 CHRYSLER PACIFICA,PHEV,0.0,32.0
2023 FISKER OCEAN,BEV,0.0,0.0
2023 FORD ESCAPE,PHEV,0.0,37.0
2023 FORD F-150,BEV,0.0,0.0
2023 FORD MUSTANG MACH-E,BEV,0.0,0.0
2023 FORD TRANSIT,BEV,0.0,0.0
2023 GENESIS G80,BEV,0.0,0.0
2023 GENESIS GV60,BEV,0.0,0.0
2023 GENESIS GV70,BEV,0.0,0.0
2023 HYUNDAI IONIQ 5,BEV,0.0,0.0
2023 HYUNDAI IONIQ 6,BEV,0.0,0.0
2023 HYUNDAI KONA,BEV,0.0,0.0
2023 HYUNDAI SANTA FE,PHEV,0.0,30.0
2023 HYUNDAI TUCSON,PHEV,0.0,33.0
2023 JAGUAR I-PACE,BEV,0.0,0.0
2023 JEEP GRAND CHEROKEE,PHEV,0.0,25.0
2023 JEEP WRANGLER,PHEV,0.0,21.0
2023 KIA EV6,BEV,0.0,0.0
2023 KIA NIRO,BEV,0.0,0.0
2023 KIA NIRO,PHEV,0.0,33.0
2023 KIA SORENTO,PHEV,0.0,32.0
2023 KIA SPORTAGE,PHEV,0.0,34.0
2023 LAND ROVER RANGE ROVER,PHEV,0.0,51.0
2023 LAND ROVER RANGE ROVER SPORT,PHEV,0.0,19.0
2023 LEXUS NX,PHEV,0.0,37.0
2023 LEXUS RZ,BEV,0.0,0.0
2023 LINCOLN AVIATOR,PHEV,0.0,21.0
2023 LINCOLN CORSAIR,PHEV,0.0,28.0
2023 LUCID AIR,BEV,0.0,0.0
2023 MERCEDES-BENZ EQB-CLASS,BEV,0.0,0.0
2023 MERCEDES-BENZ EQE-CLASS SEDAN,BEV,0.0,0.0
2023 MERCEDES-BENZ EQE-CLASS SUV,BEV,0.0,0.0
2023 MERCEDES-BENZ EQS-CLASS SEDAN,BEV,0.0,0.0
2023 MERCEDES-BENZ EQS-CLASS SUV,BEV,0.0,0.0
2023 MINI COUNTRYMAN,PHEV,0.0,17.0
2023 MINI HARDTOP,BEV,0.0,0.0
2023 MITSUBISHI OUTLANDER,PHEV,0.0,38.0
2023 NISSAN ARIYA,BEV,0.0,0.0
2023 NISSAN LEAF,BEV,0.0,0.0
2023 POLESTAR PS2,BEV,0.0,0.0
2023 PORSCHE CAYENNE,PHEV,0.0,14.0
2023 PORSCHE PANAMERA,PHEV,0.0,18.0
2023 PORSCHE TAYCAN,BEV,0.0,0.0
2023 RIVIAN EDV,BEV,0.0,0.0
2023 RIVIAN R1S,BEV,0.0,0.0
2023 RIVIAN R1T,BEV,0.0,0.0
2023 SUBARU SOLTERRA,BEV,0.0,0.0
2023 TESLA MODEL 3,BEV,0.0,0.0
2023 TESLA MODEL S,BEV,0.0,0.0
2023 TESLA MODEL X,BEV,0.0,0.0
2023 TESLA MODEL Y,BEV,0.0,0.0
2023 TOYOTA BZ4X,BEV,0.0,0.0
2023 TOYOTA MIRAI,BEV,0.0,0.0
2023 TOYOTA PRIUS PRIME (PHEV),PHEV,0.0,39.0
