Model,Base Price,Dest. Charge,Tax Credit,Effective Price,EPA range (miles)
2024 Tesla Model X LR AWD (6 seat) 20-in,"$86,490 ","$1,640 ",N/A,"$88,130 ",335
2024 Tesla Model X LR AWD (6 seat) 22-in,"$91,990 ","$1,640 ",N/A,"$93,630 ",322
2024 Tesla Model X LR AWD (7 seat) 20-in,"$83,490 ","$1,640 ",N/A,"$85,130 ",335
2024 Tesla Model X LR AWD (7 seat) 22-in,"$88,990 ","$1,640 ",N/A,"$90,630 ",322
2024 Tesla Model X Plaid (6 seat) 20-in,"$94,990 ","$1,640 ",N/A,"$96,630 ",326
2024 Tesla Model X Plaid (6 seat) 22-in,"$100,490 ","$1,640 ",N/A,"$102,130 ",300
2024 Tesla Model Y RWD 19-in,"$43,990 ","$1,640 ","$7,500 ","$38,130 ",260
2024 Tesla Model Y RWD 20-in,"$45,990 ","$1,640 ","$7,500 ","$40,130 ",242
2024 Tesla Model Y Long Range AWD 19-in,"$48,990 ","$1,640 ","$7,500 ","$43,130 ",310
2024 Tesla Model Y Long Range AWD 20-in,"$50,990 ","$1,640 ","$7,500 ","$45,130 ",292
2024 Tesla Model Y Perf. LR AWD 21-in,"$52,490 ","$1,640 ","$7,500 ","$46,630 ",285
2024 Toyota bZ4X XLE FWD 18-in,"$43,070 ","$1,350 ",N/A,"$44,420 ",252
2024 Toyota bZ4X Limited FWD 20-in,"$47,180 ","$1,350 ",N/A,"$48,530 ",236
2024 Toyota bZ4X XLE AWD 18-in,"$45,150 ","$1,350 ",N/A,"$46,500 ",228
2024 Toyota bZ4X Limited AWD 20-in,"$49,260 ","$1,350 ",N/A,"$50,610 ",222
2023 VinFast VF 8 Standard Edition Eco 19-in,"$46,000 ","$1,200 ",N/A,"$47,200 ",264
2023 VinFast VF 8 Standard Edition Plus 20-in,"$51,800 ","$1,200 ",N/A,"$53,000 ",243
2024 VinFast VF 9 Eco (7 seat) 20-in,"$79,800*",,N/A,"$79,800 ",330
2024 VinFast VF 9 Plus (7 or 6 seat) 21-in,"$85,800*",,N/A,"$85,800 ",291
2023 Volkswagen ID.4 Standard 19-in,"$38,995 ","$1,295 ","$7,500 ","$32,790 ",209
2023 Volkswagen ID.4 Pro 19-in,"$43,995 ","$1,295 ","$7,500 ","$37,790 ",275
2023 Volkswagen ID.4 S 20-in,"$43,995 ","$1,295 ","$7,500 ","$37,790 ",209
2023 Volkswagen ID.4 Pro S 20-in,"$48,995 ","$1,295 ","$7,500 ","$42,790 ",275
2023 Volkswagen ID.4 AWD Pro 19-in,"$47,795 ","$1,295 ","$7,500 ","$41,590 ",255
2023 Volkswagen ID.4 AWD Pro S 20-in,"$52,795 ","$1,295 ","$7,500 ","$46,590 ",255
2024 Volvo C40 Recharge RWD 19-in,"$53,600 ","$1,295 ",N/A,"$54,895 ",297
2024 Volvo C40 Recharge AWD 19-in,"$55,350 ","$1,295 ",N/A,"$56,645 ",257
2025 Volvo EX30 Single Motor Core RWD 18-in,"$34,950 ","$1,295 ",N/A,"$36,245 ",275
2025 Volvo EX30 Twin Motor Plus AWD 19-in,"$44,900 ","$1,295 ",N/A,"$46,195 ",265
2025 Volvo EX90 TM Plus (7 seat) AWD 20-in,"$76,695 ","$1,295 ",N/A,"$77,990 ",300
2025 Volvo EX90 TM Plus (6 seat) AWD 20-in,"$77,195 ","$1,295 ",N/A,"$78,490 ",300
2025 Volvo EX90 TM Ultra (7 seat) AWD 21-in,"$81,045 ","$1,295 ",N/A,"$82,340 ",300
2025 Volvo EX90 TM Ultra (6 seat) AWD 21-in,"$81,545 ","$1,295 ",N/A,"$82,840 ",300
2025 Volvo EX90 TM P. Plus (7 seat) AWD 20-in,"$81,695 ","$1,295 ",N/A,"$82,990 ",300
2025 Volvo EX90 TM P. Plus (6 seat) AWD 20-in,"$82,195 ","$1,295 ",N/A,"$83,490 ",300
2025 Volvo EX90 TM P. Ultra (7 seat) AWD 21-in,"$86,045 ","$1,295 ",N/A,"$87,340 ",300
2025 Volvo EX90 TM P. Ultra (6 seat) AWD 21-in,"$86,545 ","$1,295 ",N/A,"$87,840 ",300
2024 Volvo XC40 Recharge RWD 19-in,"$52,450 ","$1,295 ",N/A,"$53,745 ",293
2024 Volvo XC40 Recharge AWD 19-in,"$54,200 ","$1,295 ",N/A,"$55,495 ",254
