County,Latitude,Longitude,Year,Make,Model,Vehicle Type,CAFV Eligibility,Year_Make_Model,POP_2025,Median Income,MSRP,Dest. Charge,Tax Credit,Effective Price,Electric Range
clark,45.81539,-122.74595,2020,BMW,745E,PHEV,Not eligible,2020 BMW 745E,542400,108973,0,0,0,0,16
pierce,47.24898,-122.32172,2014,BMW,I3,BEV,Eligible,2014 BMW I3,959900,111126,0,0,0,0,81
benton,46.31484,-119.26844,2014,BMW,I8,PHEV,Not eligible,2014 BMW I8,219625,103290,0,0,0,0,14
kitsap,47.57192,-122.65223,2015,BMW,I3,PHEV,Eligible,2015 BMW I3,288900,114590,0,0,0,0,72
pierce,47.21584,-122.41249,2015,BMW,I8,PHEV,Not eligible,2015 BMW I8,959900,111126,0,0,0,0,14
snohomish,48.24159,-122.37265,2016,BMW,I8,PHEV,Not eligible,2016 BMW I8,873800,127475,0,0,0,0,14
king,47.66127,-122.31307,2016,BMW,X5,PHEV,Not eligible,2016 BMW X5,2411700,154490,0,0,0,0,14
king,47.63433,-122.32427,2016,BMW,I3,PHEV,Eligible,2016 BMW I3,2411700,154490,0,0,0,0,72
king,47.72201,-122.22901,2022,BMW,X5,PHEV,Eligible,2022 BMW X5,2411700,154490,0,0,0,0,30
pierce,47.29238,-122.51134,2022,BMW,530E,PHEV,Not eligible,2022 BMW 530E,959900,111126,0,0,0,0,18
chelan,47.41494,-120.30522,2022,BMW,IX,BEV,Unknown,2022 BMW IX,82900,91893,0,0,0,0,0
grant,47.13196,-119.2771,2022,BMW,I4,BEV,Unknown,2022 BMW I4,106250,79271,0,0,0,0,0
pierce,47.23451,-122.53166,2022,BMW,330E,PHEV,Not eligible,2022 BMW 330E,959900,111126,0,0,0,0,22
king,47.49348,-121.7831,2022,BMW,745LE,PHEV,Not eligible,2022 BMW 745LE,2411700,154490,0,0,0,0,16
king,47.54748,-122.00292,2021,BMW,X5,PHEV,Eligible,2021 BMW X5,2411700,154490,0,0,0,0,30
king,47.64085,-122.30207,2021,BMW,330E,PHEV,Not eligible,2021 BMW 330E,2411700,154490,0,0,0,0,20
