County,Latitude,Longitude,Year,Make,Model,Vehicle Type,CAFV Eligibility,Year_Make_Model,POP_2025,Median Income,MSRP,Dest. Charge,Tax Credit,Effective Price,Electric Range
king,47.3807,-122.23741,2021,MITSUBISHI,OUTLANDER,PHEV,Not eligible,2021 MITSUBISHI OUTLANDER,2411700,154490,0,0,0,0,24
grays harbor,46.84077,-123.23286,2020,MITSUBISHI,OUTLANDER,PHEV,Not eligible,2020 MITSUBISHI OUTLANDER,77750,79893,0,0,0,0,22
pierce,47.29238,-122.51134,2024,MULLEN AUTOMOTIVE INC.,ONE,BEV,Unknown,2024 MULLEN AUTOMOTIVE INC. ONE,959900,111126,0,0,0,0,0
king,47.49461,-122.23825,2021,NISSAN,LEAF,BEV,Unknown,2021 NISSAN LEAF,2411700,154490,0,0,0,0,0
snohomish,48.11026,-122.1677,2022,NISSAN,LEAF,BEV,Unknown,2022 NISSAN LEAF,873800,127475,0,0,0,0,0
grays harbor,47.04946,-123.26405,2020,NISSAN,LEAF,BEV,Unknown,2020 NISSAN LEAF,77750,79893,0,0,0,0,0
thurston,46.94239,-122.60735,2023,NISSAN,LEAF,BEV,Unknown,2023 NISSAN LEAF,309100,111908,0,0,0,0,0
thurston,47.03779,-122.92333,2023,NISSAN,ARIYA,BEV,Unknown,2023 NISSAN ARIYA,309100,111908,0,0,0,0,0
pierce,47.26887,-122.52082,2019,NISSAN,LEAF,BEV,Eligible,2019 NISSAN LEAF,959900,111126,0,0,0,0,150
king,47.68555,-122.03287,2024,NISSAN,LEAF,BEV,Unknown,2024 NISSAN LEAF,2411700,154490,0,0,0,0,0
thurston,47.08149,-122.75103,2024,NISSAN,ARIYA,BEV,Unknown,2024 NISSAN ARIYA,309100,111908,0,0,0,0,0
snohomish,47.8031,-122.18384,2025,NISSAN,LEAF,BEV,Unknown,2025 NISSAN LEAF,873800,127475,0,0,0,0,0
snohomish,48.19471,-122.1264,2025,NISSAN,ARIYA,BEV,Unknown,2025 NISSAN ARIYA,873800,127475,0,0,0,0,0
snohomish,47.87115,-122.1389,2013,NISSAN,LEAF,BEV,Eligible,2013 NISSAN LEAF,873800,127475,0,0,0,0,75
snohomish,47.89251,-122.18637,2014,NISSAN,LEAF,BEV,Eligible,2014 NISSAN LEAF,873800,127475,0,0,0,0,84
chelan,47.41494,-120.30522,2015,NISSAN,LEAF,BEV,Eligible,2015 NISSAN LEAF,82900,91893,0,0,0,0,84
san juan,48.52342,-122.91395,2012,NISSAN,LEAF,BEV,Eligible,2012 NISSAN LEAF,18550,104737,0,0,0,0,73
spokane,47.63374,-117.39322,2011,NISSAN,LEAF,BEV,Eligible,2011 NISSAN LEAF,566000,94226,0,0,0,0,73
snohomish,47.91265,-122.09305,2017,NISSAN,LEAF,BEV,Eligible,2017 NISSAN LEAF,873800,127475,0,0,0,0,107
snohomish,47.83785,-122.27734,2018,NISSAN,LEAF,BEV,Eligible,2018 NISSAN LEAF,873800,127475,0,0,0,0,151
walla walla,46.07068,-118.34261,2016,NISSAN,LEAF,BEV,Eligible,2016 NISSAN LEAF,63800,90621,0,0,0,0,84
snohomish,48.01497,-122.06402,2024,POLESTAR,PS2,BEV,Unknown,2024 POLESTAR PS2,873800,127475,0,0,0,0,0
king,47.68156,-122.31676,2023,POLESTAR,PS2,BEV,Unknown,2023 POLESTAR PS2,2411700,154490,0,0,0,0,0
king,47.65908,-122.40092,2025,POLESTAR,POLESTAR 3,BEV,Unknown,2025 POLESTAR POLESTAR 3,2411700,154490,0,0,0,0,0
king,47.57874,-122.30866,2025,POLESTAR,PS2,BEV,Unknown,2025 POLESTAR PS2,2411700,154490,0,0,0,0,0
snohomish,47.82557,-122.29245,2021,POLESTAR,PS2,BEV,Eligible,2021 POLESTAR PS2,873800,127475,0,0,0,0,233
king,47.67858,-122.13158,2022,POLESTAR,PS2,BEV,Unknown,2022 POLESTAR PS2,2411700,154490,0,0,0,0,0
king,47.61001,-122.1872,2023,PORSCHE,TAYCAN,BEV,Unknown,2023 PORSCHE TAYCAN,2411700,154490,0,0,0,0,0
king,47.54748,-122.00292,2023,PORSCHE,PANAMERA,PHEV,Not eligible,2023 PORSCHE PANAMERA,2411700,154490,0,0,0,0,18
king,47.33778,-122.09124,2023,PORSCHE,CAYENNE,PHEV,Not eligible,2023 PORSCHE CAYENNE,2411700,154490,0,0,0,0,17
pierce,47.328,-122.58009,2024,PORSCHE,TAYCAN,BEV,Unknown,2024 PORSCHE TAYCAN,959900,111126,0,0,0,0,0
king,47.75448,-122.15545,2024,PORSCHE,MACAN,BEV,Eligible,2024 PORSCHE MACAN,2411700,154490,0,0,0,0,308
king,47.75425,-122.07326,2024,PORSCHE,CAYENNE,PHEV,Eligible,2024 PORSCHE CAYENNE,2411700,154490,0,0,0,0,55
king,47.61613,-122.23892,2022,PORSCHE,TAYCAN,BEV,Unknown,2022 PORSCHE TAYCAN,2411700,154490,0,0,0,0,0
kitsap,47.62732,-122.521,2022,PORSCHE,CAYENNE,PHEV,Not eligible,2022 PORSCHE CAYENNE,288900,114590,0,0,0,0,16
king,47.64085,-122.30207,2022,PORSCHE,PANAMERA,PHEV,Not eligible,2022 PORSCHE PANAMERA,2411700,154490,0,0,0,0,19
king,47.61001,-122.1872,2025,PORSCHE,PANAMERA,PHEV,Not eligible,2025 PORSCHE PANAMERA,2411700,154490,0,0,0,0,28
king,47.55584,-122.12096,2025,PORSCHE,CAYENNE,PHEV,Not eligible,2025 PORSCHE CAYENNE,2411700,154490,0,0,0,0,24
king,47.71871,-122.35029,2025,PORSCHE,MACAN,BEV,Unknown,2025 PORSCHE MACAN,2411700,154490,0,0,0,0,0
clark,45.58694,-122.40199,2014,PORSCHE,PANAMERA,PHEV,Not eligible,2014 PORSCHE PANAMERA,542400,108973,0,0,0,0,15
king,47.67887,-122.2066,2019,PORSCHE,CAYENNE,PHEV,Not eligible,2019 PORSCHE CAYENNE,2411700,154490,0,0,0,0,13
king,47.33778,-122.09124,2019,PORSCHE,PANAMERA,PHEV,Not eligible,2019 PORSCHE PANAMERA,2411700,154490,0,0,0,0,14
king,47.55584,-122.12096,2018,PORSCHE,PANAMERA,PHEV,Not eligible,2018 PORSCHE PANAMERA,2411700,154490,0,0,0,0,16
king,47.3084,-122.36321,2018,PORSCHE,CAYENNE,PHEV,Not eligible,2018 PORSCHE CAYENNE,2411700,154490,0,0,0,0,14
king,47.58616,-122.32741,2020,PORSCHE,TAYCAN,BEV,Eligible,2020 PORSCHE TAYCAN,2411700,154490,0,0,0,0,203
pierce,47.34235,-122.58964,2020,PORSCHE,CAYENNE,PHEV,Not eligible,2020 PORSCHE CAYENNE,959900,111126,0,0,0,0,12
pierce,47.19175,-122.17144,2020,PORSCHE,PANAMERA,PHEV,Not eligible,2020 PORSCHE PANAMERA,959900,111126,0,0,0,0,14
clark,45.60365,-122.49212,2016,PORSCHE,CAYENNE,PHEV,Not eligible,2016 PORSCHE CAYENNE,542400,108973,0,0,0,0,14
snohomish,47.83448,-122.21061,2016,PORSCHE,PANAMERA,PHEV,Not eligible,2016 PORSCHE PANAMERA,873800,127475,0,0,0,0,15
king,47.67858,-122.13158,2015,PORSCHE,PANAMERA,PHEV,Not eligible,2015 PORSCHE PANAMERA,2411700,154490,0,0,0,0,15
king,47.67858,-122.13158,2015,PORSCHE,CAYENNE,PHEV,Not eligible,2015 PORSCHE CAYENNE,2411700,154490,0,0,0,0,14
king,47.64085,-122.30207,2017,PORSCHE,CAYENNE,PHEV,Not eligible,2017 PORSCHE CAYENNE,2411700,154490,0,0,0,0,14
pierce,47.19175,-122.17144,2021,PORSCHE,TAYCAN,BEV,Unknown,2021 PORSCHE TAYCAN,959900,111126,0,0,0,0,0
king,47.64441,-122.1621,2021,PORSCHE,CAYENNE,PHEV,Not eligible,2021 PORSCHE CAYENNE,2411700,154490,0,0,0,0,16
king,47.52716,-121.82432,2021,PORSCHE,PANAMERA,PHEV,Not eligible,2021 PORSCHE PANAMERA,2411700,154490,0,0,0,0,18
king,47.39394,-122.04526,2024,RAM,PROMASTER 3500,BEV,Unknown,2024 RAM PROMASTER 3500,2411700,154490,0,0,0,0,0
king,47.64085,-122.30207,2024,RIVIAN,R1T,BEV,Unknown,2024 RIVIAN R1T,2411700,154490,0,0,0,0,0
king,47.60803,-122.31009,2024,RIVIAN,R1S,BEV,Unknown,2024 RIVIAN R1S,2411700,154490,0,0,0,0,0
skagit,48.46846,-122.33029,2024,RIVIAN,EDV,BEV,Unknown,2024 RIVIAN EDV,134600,99179,0,0,0,0,0
chelan,47.83985,-120.01454,2025,RIVIAN,R1S,BEV,Unknown,2025 RIVIAN R1S,82900,91893,0,0,0,0,0
snohomish,47.87166,-122.31768,2025,RIVIAN,R1T,BEV,Unknown,2025 RIVIAN R1T,873800,127475,0,0,0,0,0
san juan,48.53448,-123.01648,2023,RIVIAN,R1S,BEV,Unknown,2023 RIVIAN R1S,18550,104737,0,0,0,0,0
kittitas,47.195,-120.93943,2023,RIVIAN,R1T,BEV,Unknown,2023 RIVIAN R1T,48950,99709,0,0,0,0,0
king,47.39394,-122.04526,2023,RIVIAN,EDV,BEV,Unknown,2023 RIVIAN EDV,2411700,154490,0,0,0,0,0
king,47.50314,-122.3317,2024,RIVIAN,RCV,BEV,Unknown,2024 RIVIAN RCV,2411700,154490,0,0,0,0,0
kitsap,47.57192,-122.65223,2025,RIVIAN,EDV,BEV,Unknown,2025 RIVIAN EDV,288900,114590,0,0,0,0,0
king,47.67597,-122.38591,2022,RIVIAN,R1T,BEV,Unknown,2022 RIVIAN R1T,2411700,154490,0,0,0,0,0
king,47.67597,-122.38591,2022,RIVIAN,R1S,BEV,Unknown,2022 RIVIAN R1S,2411700,154490,0,0,0,0,0
king,47.39394,-122.04526,2022,RIVIAN,EDV,BEV,Unknown,2022 RIVIAN EDV,2411700,154490,0,0,0,0,0
king,47.61578,-122.34468,2025,ROLLS-ROYCE,SPECTRE,BEV,Unknown,2025 ROLLS-ROYCE SPECTRE,2411700,154490,0,0,0,0,0
pierce,47.19434,-122.28504,2024,ROLLS-ROYCE,SPECTRE,BEV,Unknown,2024 ROLLS-ROYCE SPECTRE,959900,111126,0,0,0,0,0
snohomish,47.87166,-122.31768,2016,SMART,FORTWO,BEV,Eligible,2016 SMART FORTWO,873800,127475,0,0,0,0,68
king,47.26465,-122.24692,2017,SMART,FORTWO,BEV,Eligible,2017 SMART FORTWO,2411700,154490,0,0,0,0,58
king,47.54701,-122.36893,2015,SMART,FORTWO ELECTRIC DRIVE,BEV,Eligible,2015 SMART FORTWO ELECTRIC DRIVE,2411700,154490,0,0,0,0,68
pierce,47.17669,-122.54764,2018,SMART,EQ FORTWO,BEV,Eligible,2018 SMART EQ FORTWO,959900,111126,0,0,0,0,58
king,47.4466,-122.08747,2019,SMART,EQ FORTWO,BEV,Eligible,2019 SMART EQ FORTWO,2411700,154490,0,0,0,0,58
chelan,47.5224,-120.47005,2014,SMART,FORTWO ELECTRIC DRIVE,BEV,Eligible,2014 SMART FORTWO ELECTRIC DRIVE,82900,91893,0,0,0,0,58
whatcom,48.75245,-122.47107,2013,SMART,FORTWO ELECTRIC DRIVE,BEV,Eligible,2013 SMART FORTWO ELECTRIC DRIVE,240500,102596,0,0,0,0,68
king,47.63824,-122.35022,2024,SUBARU,SOLTERRA,BEV,Unknown,2024 SUBARU SOLTERRA,2411700,154490,0,0,0,0,0
king,47.60357,-122.32945,2025,SUBARU,SOLTERRA,BEV,Unknown,2025 SUBARU SOLTERRA,2411700,154490,0,0,0,0,0
king,47.43473,-122.29179,2023,SUBARU,SOLTERRA,BEV,Unknown,2023 SUBARU SOLTERRA,2411700,154490,0,0,0,0,0
thurston,47.08149,-122.75103,2019,SUBARU,CROSSTREK,PHEV,Not eligible,2019 SUBARU CROSSTREK,309100,111908,0,0,0,0,17
king,47.61344,-122.03539,2023,TESLA,MODEL Y,BEV,Unknown,2023 TESLA MODEL Y,2411700,154490,0,0,0,0,0
cowlitz,46.00813,-122.84226,2023,TESLA,MODEL 3,BEV,Unknown,2023 TESLA MODEL 3,114500,86738,0,0,0,0,0
king,47.61344,-122.03539,2023,TESLA,MODEL S,BEV,Unknown,2023 TESLA MODEL S,2411700,154490,0,0,0,0,0
snohomish,47.82557,-122.29245,2023,TESLA,MODEL X,BEV,Unknown,2023 TESLA MODEL X,873800,127475,0,0,0,0,0
king,47.52716,-121.82432,2025,TESLA,MODEL 3,BEV,Unknown,2025 TESLA MODEL 3,2411700,154490,0,0,0,0,0
clark,45.67871,-122.64443,2025,TESLA,MODEL Y,BEV,Unknown,2025 TESLA MODEL Y,542400,108973,0,0,0,0,0
king,47.65908,-122.40092,2025,TESLA,MODEL S,BEV,Unknown,2025 TESLA MODEL S,2411700,154490,0,0,0,0,0
king,47.61001,-122.1872,2025,TESLA,MODEL X,BEV,Unknown,2025 TESLA MODEL X,2411700,154490,0,0,0,0,0
snohomish,47.83448,-122.21061,2025,TESLA,CYBERTRUCK,BEV,Unknown,2025 TESLA CYBERTRUCK,873800,127475,0,0,0,0,0
king,47.67597,-122.38591,2026,TESLA,MODEL Y,BEV,Unknown,2026 TESLA MODEL Y,2411700,154490,0,0,0,0,0
king,47.60326,-122.02054,2026,TESLA,MODEL X,BEV,Unknown,2026 TESLA MODEL X,2411700,154490,0,0,0,0,0
king,47.61613,-122.23892,2026,TESLA,MODEL S,BEV,Unknown,2026 TESLA MODEL S,2411700,154490,0,0,0,0,0
cowlitz,46.14424,-122.89867,2024,TESLA,CYBERTRUCK,BEV,Unknown,2024 TESLA CYBERTRUCK,114500,86738,0,0,0,0,0
benton,46.29696,-119.33836,2019,TESLA,MODEL 3,BEV,Eligible,2019 TESLA MODEL 3,219625,103290,0,0,0,0,220
spokane,47.7333,-117.45005,2019,TESLA,MODEL X,BEV,Eligible,2019 TESLA MODEL X,566000,94226,0,0,0,0,289
king,47.67887,-122.2066,2019,TESLA,MODEL S,BEV,Eligible,2019 TESLA MODEL S,2411700,154490,0,0,0,0,270
whitman,46.73015,-117.18147,2018,TESLA,MODEL 3,BEV,Eligible,2018 TESLA MODEL 3,49450,91032,0,0,0,0,215
grant,47.31909,-119.55096,2018,TESLA,MODEL X,BEV,Eligible,2018 TESLA MODEL X,106250,79271,0,0,0,0,238
king,47.55115,-122.2668,2018,TESLA,MODEL S,BEV,Eligible,2018 TESLA MODEL S,2411700,154490,0,0,0,0,249
snohomish,47.8031,-122.18384,2020,TESLA,MODEL 3,BEV,Eligible,2020 TESLA MODEL 3,873800,127475,0,0,0,0,322
snohomish,47.91265,-122.09305,2020,TESLA,MODEL Y,BEV,Eligible,2020 TESLA MODEL Y,873800,127475,0,0,0,0,291
king,47.67858,-122.13158,2020,TESLA,MODEL X,BEV,Eligible,2020 TESLA MODEL X,2411700,154490,0,0,0,0,293
snohomish,47.91265,-122.09305,2020,TESLA,MODEL S,BEV,Eligible,2020 TESLA MODEL S,873800,127475,0,0,0,0,330
king,47.61334,-122.12056,2017,TESLA,MODEL S,BEV,Eligible,2017 TESLA MODEL S,2411700,154490,0,0,0,0,210
king,47.60326,-122.02054,2017,TESLA,MODEL X,BEV,Eligible,2017 TESLA MODEL X,2411700,154490,0,0,0,0,200
king,47.72238,-122.36498,2017,TESLA,MODEL 3,BEV,Eligible,2017 TESLA MODEL 3,2411700,154490,0,0,0,0,220
pierce,47.16568,-122.40872,2015,TESLA,MODEL S,BEV,Eligible,2015 TESLA MODEL S,959900,111126,0,0,0,0,208
whatcom,48.84787,-122.5945,2016,TESLA,MODEL S,BEV,Eligible,2016 TESLA MODEL S,240500,102596,0,0,0,0,210
king,47.4466,-122.08747,2016,TESLA,MODEL X,BEV,Eligible,2016 TESLA MODEL X,2411700,154490,0,0,0,0,200
san juan,48.53448,-123.01648,2008,TESLA,ROADSTER,BEV,Unknown,2008 TESLA ROADSTER,18550,104737,0,0,0,0,0
king,47.47532,-122.20489,2022,TESLA,MODEL 3,BEV,Unknown,2022 TESLA MODEL 3,2411700,154490,0,0,0,0,0
snohomish,47.8031,-122.18384,2022,TESLA,MODEL Y,BEV,Unknown,2022 TESLA MODEL Y,873800,127475,0,0,0,0,0
klickitat,45.72776,-121.48704,2022,TESLA,MODEL S,BEV,Unknown,2022 TESLA MODEL S,23600,86578,0,0,0,0,0
king,47.54748,-122.00292,2022,TESLA,MODEL X,BEV,Unknown,2022 TESLA MODEL X,2411700,154490,0,0,0,0,0
whatcom,48.75245,-122.47107,2011,TH!NK,CITY,BEV,Eligible,2011 TH!NK CITY,240500,102596,0,0,0,0,100
pierce,47.09583,-122.62954,2024,TOYOTA,RAV4 PRIME (PHEV),PHEV,Eligible,2024 TOYOTA RAV4 PRIME (PHEV),959900,111126,0,0,0,0,42
king,47.55115,-122.2668,2024,TOYOTA,PRIUS PRIME (PHEV),PHEV,Eligible,2024 TOYOTA PRIUS PRIME (PHEV),2411700,154490,0,0,0,0,39
snohomish,47.8526,-121.98087,2024,TOYOTA,BZ4X,BEV,Unknown,2024 TOYOTA BZ4X,873800,127475,0,0,0,0,0
skagit,48.50858,-122.23857,2023,TOYOTA,PRIUS PRIME (PHEV),PHEV,Eligible,2023 TOYOTA PRIUS PRIME (PHEV),134600,99179,0,0,0,0,39
clark,45.71668,-122.62731,2023,TOYOTA,RAV4 PRIME (PHEV),PHEV,Eligible,2023 TOYOTA RAV4 PRIME (PHEV),542400,108973,0,0,0,0,42
kitsap,47.42602,-122.54729,2023,TOYOTA,BZ4X,BEV,Unknown,2023 TOYOTA BZ4X,288900,114590,0,0,0,0,0
douglas,47.41515,-120.29473,2023,TOYOTA,MIRAI,BEV,Unknown,2023 TOYOTA MIRAI,45450,89320,0,0,0,0,0
snohomish,47.85727,-122.27981,2025,TOYOTA,BZ4X,BEV,Unknown,2025 TOYOTA BZ4X,873800,127475,0,0,0,0,0
king,47.66127,-122.31307,2025,TOYOTA,PRIUS PRIME (PHEV),PHEV,Eligible,2025 TOYOTA PRIUS PRIME (PHEV),2411700,154490,0,0,0,0,39
chelan,47.41494,-120.30522,2025,TOYOTA,RAV4 PRIME (PHEV),PHEV,Eligible,2025 TOYOTA RAV4 PRIME (PHEV),82900,91893,0,0,0,0,42
skagit,48.53892,-121.7515,2017,TOYOTA,PRIUS PRIME (PHEV),PHEV,Not eligible,2017 TOYOTA PRIUS PRIME (PHEV),134600,99179,0,0,0,0,25
yakima,46.59751,-120.52041,2018,TOYOTA,PRIUS PRIME (PHEV),PHEV,Not eligible,2018 TOYOTA PRIUS PRIME (PHEV),264650,76662,0,0,0,0,25
thurston,47.03954,-122.89165,2019,TOYOTA,PRIUS PRIME (PHEV),PHEV,Not eligible,2019 TOYOTA PRIUS PRIME (PHEV),309100,111908,0,0,0,0,25
king,47.54748,-122.00292,2013,TOYOTA,PRIUS,PHEV,Not eligible,2013 TOYOTA PRIUS,2411700,154490,0,0,0,0,6
king,47.63824,-122.35022,2013,TOYOTA,RAV4,BEV,Eligible,2013 TOYOTA RAV4,2411700,154490,0,0,0,0,103
clallam,48.11892,-123.43112,2012,TOYOTA,PRIUS,PHEV,Not eligible,2012 TOYOTA PRIUS,78650,84546,0,0,0,0,6
king,47.64586,-122.3684,2012,TOYOTA,RAV4,BEV,Eligible,2012 TOYOTA RAV4,2411700,154490,0,0,0,0,103
clallam,48.07965,-123.10367,2002,TOYOTA,RAV4,BEV,Eligible,2002 TOYOTA RAV4,78650,84546,0,0,0,0,95
san juan,48.53448,-123.01648,2003,TOYOTA,RAV4,BEV,Eligible,2003 TOYOTA RAV4,18550,104737,0,0,0,0,95
king,47.41185,-122.17743,2015,TOYOTA,PRIUS,PHEV,Not eligible,2015 TOYOTA PRIUS,2411700,154490,0,0,0,0,6
kitsap,47.62732,-122.521,2014,TOYOTA,PRIUS,PHEV,Not eligible,2014 TOYOTA PRIUS,288900,114590,0,0,0,0,6
king,47.72201,-122.22901,2014,TOYOTA,RAV4,BEV,Eligible,2014 TOYOTA RAV4,2411700,154490,0,0,0,0,103
whatcom,48.7449,-122.45486,2021,TOYOTA,RAV4 PRIME (PHEV),PHEV,Eligible,2021 TOYOTA RAV4 PRIME (PHEV),240500,102596,0,0,0,0,42
snohomish,47.82557,-122.29245,2021,TOYOTA,PRIUS PRIME (PHEV),PHEV,Not eligible,2021 TOYOTA PRIUS PRIME (PHEV),873800,127475,0,0,0,0,25
clark,45.63701,-122.48723,2022,TOYOTA,RAV4 PRIME (PHEV),PHEV,Eligible,2022 TOYOTA RAV4 PRIME (PHEV),542400,108973,0,0,0,0,42
clark,45.60365,-122.49212,2022,TOYOTA,PRIUS PRIME (PHEV),PHEV,Not eligible,2022 TOYOTA PRIUS PRIME (PHEV),542400,108973,0,0,0,0,25
king,47.64085,-122.30207,2020,TOYOTA,PRIUS PRIME (PHEV),PHEV,Not eligible,2020 TOYOTA PRIUS PRIME (PHEV),2411700,154490,0,0,0,0,25
clark,45.69345,-122.55149,2024,VINFAST,VF 8,BEV,Unknown,2024 VINFAST VF 8,542400,108973,0,0,0,0,0
king,47.68156,-122.31676,2023,VOLKSWAGEN,ID.4,BEV,Unknown,2023 VOLKSWAGEN ID.4,2411700,154490,0,0,0,0,0
whatcom,48.75245,-122.47107,2025,VOLKSWAGEN,ID.4,BEV,Unknown,2025 VOLKSWAGEN ID.4,240500,102596,0,0,0,0,0
snohomish,48.06114,-122.1769,2024,VOLKSWAGEN,ID.4,BEV,Unknown,2024 VOLKSWAGEN ID.4,873800,127475,0,0,0,0,0
king,47.5301,-122.03439,2025,VOLKSWAGEN,ID. BUZZ,BEV,Unknown,2025 VOLKSWAGEN ID. BUZZ,2411700,154490,0,0,0,0,0
pierce,46.86733,-122.26832,2021,VOLKSWAGEN,ID.4,BEV,Unknown,2021 VOLKSWAGEN ID.4,959900,111126,0,0,0,0,0
klickitat,45.6939,-121.28544,2019,VOLKSWAGEN,E-GOLF,BEV,Eligible,2019 VOLKSWAGEN E-GOLF,23600,86578,0,0,0,0,125
king,47.63131,-122.11867,2016,VOLKSWAGEN,E-GOLF,BEV,Eligible,2016 VOLKSWAGEN E-GOLF,2411700,154490,0,0,0,0,83
king,47.61334,-122.12056,2015,VOLKSWAGEN,E-GOLF,BEV,Eligible,2015 VOLKSWAGEN E-GOLF,2411700,154490,0,0,0,0,83
clark,45.60365,-122.49212,2017,VOLKSWAGEN,E-GOLF,BEV,Eligible,2017 VOLKSWAGEN E-GOLF,542400,108973,0,0,0,0,125
king,47.61344,-122.03539,2018,VOLKSWAGEN,E-GOLF,BEV,Eligible,2018 VOLKSWAGEN E-GOLF,2411700,154490,0,0,0,0,125
snohomish,47.87166,-122.31768,2022,VOLKSWAGEN,ID.4,BEV,Unknown,2022 VOLKSWAGEN ID.4,873800,127475,0,0,0,0,0
snohomish,48.11026,-122.1677,2023,VOLVO,XC40,BEV,Unknown,2023 VOLVO XC40,873800,127475,0,0,0,0,0
snohomish,47.81116,-122.37689,2023,VOLVO,C40,BEV,Unknown,2023 VOLVO C40,873800,127475,0,0,0,0,0
thurston,47.03779,-122.92333,2023,VOLVO,XC60,PHEV,Eligible,2023 VOLVO XC60,309100,111908,0,0,0,0,35
snohomish,47.87166,-122.31768,2023,VOLVO,XC90,PHEV,Eligible,2023 VOLVO XC90,873800,127475,0,0,0,0,32
king,47.75448,-122.15545,2023,VOLVO,S60,PHEV,Eligible,2023 VOLVO S60,2411700,154490,0,0,0,0,41
king,47.63433,-122.32427,2024,VOLVO,XC40,BEV,Unknown,2024 VOLVO XC40,2411700,154490,0,0,0,0,0
king,47.61344,-122.03539,2024,VOLVO,V60,PHEV,Eligible,2024 VOLVO V60,2411700,154490,0,0,0,0,41
clark,45.81539,-122.74595,2024,VOLVO,XC60,PHEV,Eligible,2024 VOLVO XC60,542400,108973,0,0,0,0,35
walla walla,46.07068,-118.34261,2024,VOLVO,C40,BEV,Unknown,2024 VOLVO C40,63800,90621,0,0,0,0,0
pierce,47.29238,-122.51134,2024,VOLVO,XC90,PHEV,Eligible,2024 VOLVO XC90,959900,111126,0,0,0,0,32
yakima,46.59817,-120.60199,2024,VOLVO,S90,PHEV,Eligible,2024 VOLVO S90,264650,76662,0,0,0,0,38
benton,46.27391,-119.27372,2024,VOLVO,S60,PHEV,Eligible,2024 VOLVO S60,219625,103290,0,0,0,0,41
king,47.67858,-122.13158,2023,VOLVO,V60,PHEV,Eligible,2023 VOLVO V60,2411700,154490,0,0,0,0,41
king,47.3084,-122.36321,2023,VOLVO,S90,PHEV,Eligible,2023 VOLVO S90,2411700,154490,0,0,0,0,38
king,47.72238,-122.36498,2025,VOLVO,XC60,PHEV,Eligible,2025 VOLVO XC60,2411700,154490,0,0,0,0,35
king,47.65908,-122.40092,2025,VOLVO,XC90,PHEV,Eligible,2025 VOLVO XC90,2411700,154490,0,0,0,0,32
king,47.60326,-122.02054,2025,VOLVO,EX90,BEV,Unknown,2025 VOLVO EX90,2411700,154490,0,0,0,0,0
king,47.3084,-122.36321,2025,VOLVO,EX40,BEV,Unknown,2025 VOLVO EX40,2411700,154490,0,0,0,0,0
jefferson,48.1212,-122.77263,2025,VOLVO,EX30,BEV,Unknown,2025 VOLVO EX30,33825,98262,0,0,0,0,0
king,47.61344,-122.03539,2025,VOLVO,S60,PHEV,Eligible,2025 VOLVO S60,2411700,154490,0,0,0,0,41
yakima,46.59817,-120.60199,2025,VOLVO,V60,PHEV,Eligible,2025 VOLVO V60,264650,76662,0,0,0,0,41
skagit,48.41566,-122.32355,2022,VOLVO,XC90,PHEV,Not eligible,2022 VOLVO XC90,134600,99179,0,0,0,0,18
clark,45.58694,-122.40199,2021,VOLVO,XC60,PHEV,Not eligible,2021 VOLVO XC60,542400,108973,0,0,0,0,18
kitsap,47.79802,-122.4977,2021,VOLVO,XC40,BEV,Unknown,2021 VOLVO XC40,288900,114590,0,0,0,0,0
king,47.66127,-122.31307,2021,VOLVO,XC90,PHEV,Not eligible,2021 VOLVO XC90,2411700,154490,0,0,0,0,18
clark,45.69345,-122.55149,2021,VOLVO,S60,PHEV,Not eligible,2021 VOLVO S60,542400,108973,0,0,0,0,22
king,47.64586,-122.3684,2021,VOLVO,V60,PHEV,Not eligible,2021 VOLVO V60,2411700,154490,0,0,0,0,22
chelan,47.41494,-120.30522,2022,VOLVO,C40,BEV,Unknown,2022 VOLVO C40,82900,91893,0,0,0,0,0
skagit,48.38874,-122.49724,2022,VOLVO,XC40,BEV,Unknown,2022 VOLVO XC40,134600,99179,0,0,0,0,0
whatcom,48.7999,-122.49756,2022,VOLVO,XC60,PHEV,Not eligible,2022 VOLVO XC60,240500,102596,0,0,0,0,18
king,47.64586,-122.3684,2022,VOLVO,S60,PHEV,Not eligible,2022 VOLVO S60,2411700,154490,0,0,0,0,22
king,47.64085,-122.30207,2019,VOLVO,XC60,PHEV,Not eligible,2019 VOLVO XC60,2411700,154490,0,0,0,0,17
kittitas,47.195,-120.93943,2019,VOLVO,XC90,PHEV,Not eligible,2019 VOLVO XC90,48950,99709,0,0,0,0,17
king,47.72656,-122.30253,2019,VOLVO,S60,PHEV,Not eligible,2019 VOLVO S60,2411700,154490,0,0,0,0,22
king,47.33778,-122.09124,2019,VOLVO,S90,PHEV,Not eligible,2019 VOLVO S90,2411700,154490,0,0,0,0,21
snohomish,47.89908,-122.29196,2018,VOLVO,S90,PHEV,Not eligible,2018 VOLVO S90,873800,127475,0,0,0,0,21
san juan,48.69389,-122.91109,2017,VOLVO,XC90,PHEV,Not eligible,2017 VOLVO XC90,18550,104737,0,0,0,0,14
snohomish,47.75448,-122.15545,2020,VOLVO,XC60,PHEV,Not eligible,2020 VOLVO XC60,873800,127475,0,0,0,0,18
skagit,48.51748,-122.61214,2020,VOLVO,S60,PHEV,Not eligible,2020 VOLVO S60,134600,99179,0,0,0,0,22
