County,Latitude,Longitude,Year,Make,Model,Vehicle Type,CAFV Eligibility,Year_Make_Model,POP_2025,Median Income,MSRP,Dest. Charge,Tax Credit,Effective Price,Electric Range,Source
king,47.75781,-122.3175,2021,BMW,530E,PHEV,Not eligible,2021 BMW 530E,2411700,154490,57200,0,0,0,18,Edmunds
clark,45.81539,-122.74595,2021,BMW,745E,PHEV,Not eligible,2021 BMW 745E,542400,108973,95900,0,0,0,16,BMW of Las Vegas
king,47.46233,-122.32863,2023,BRIGHTDROP,ZEVO,BEV,Unknown,2023 BRIGHTDROP ZEVO,2411700,154490,94030,0,0,0,250,Capital One
king,47.46233,-122.32863,2024,BRIGHTDROP,ZEVO,BEV,Unknown,2024 BRIGHTDROP ZEVO,2411700,154490,74900,0,0,0,200,GM Authority
king,47.68555,-122.03287,2025,CADILLAC,OPTIQ,BEV,Unknown,2025 CADILLAC OPTIQ,2411700,154490,54390,0,0,0,302,MotorTrend
pierce,47.21584,-122.41249,2025,CADILLAC,LYRIQ,BEV,Unknown,2025 CADILLAC LYRIQ,959900,111126,58595,0,0,0,326,Cadillac Brochures
king,47.67887,-122.2066,2024,CADILLAC,LYRIQ,BEV,Unknown,2024 CADILLAC LYRIQ,2411700,154490,58590,0,0,0,314,Cadillac of Clabasas
king,47.47532,-122.20489,2026,CADILLAC,VISTIQ,BEV,Unknown,2026 CADILLAC VISTIQ,2411700,154490,78790,0,0,0,300,news.cadillac.com
snohomish,47.82557,-122.29245,2026,CADILLAC,LYRIQ,BEV,Unknown,2026 CADILLAC LYRIQ,873800,127475,79990,0,0,0,319,news.cadillac.com
king,47.50006,-122.1805,2016,CADILLAC,ELR,PHEV,Eligible,2016 CADILLAC ELR,2411700,154490,65000,0,0,0,40,GM Authority
thurston,47.05997,-122.87741,2014,CADILLAC,ELR,PHEV,Eligible,2014 CADILLAC ELR,309100,111908,75000,0,0,0,37,Edmunds
kittitas,47.195,-120.93943,2023,CADILLAC,LYRIQ,BEV,Unknown,2023 CADILLAC LYRIQ,48950,99709,61795,0,0,0,312,Cadillac Brochures
snohomish,47.8526,-121.98087,2020,CHEVROLET,BOLT EV,BEV,Eligible,2020 CHEVROLET BOLT EV,873800,127475,37495,0,0,0,259,Electric Cars Report
king,47.67597,-122.38591,2019,CHEVROLET,BOLT EV,BEV,Eligible,2019 CHEVROLET BOLT EV,2411700,154490,37495,0,0,0,238,GM Authority
king,47.61001,-122.1872,2019,CHEVROLET,VOLT,PHEV,Eligible,2019 CHEVROLET VOLT,2411700,154490,33520,0,0,0,53,Edmunds
king,47.67858,-122.13158,2018,CHEVROLET,VOLT,PHEV,Eligible,2018 CHEVROLET VOLT,2411700,154490,33220,0,0,0,53,Edmunds
pierce,47.17303,-122.59802,2018,CHEVROLET,BOLT EV,BEV,Eligible,2018 CHEVROLET BOLT EV,959900,111126,36620,0,0,0,238,Kbb.com
thurston,47.03954,-122.89165,2024,CHEVROLET,SILVERADO,BEV,Unknown,2024 CHEVROLET SILVERADO,309100,111908,72905,0,0,0,393,Chevrolet Newroom
snohomish,47.87115,-122.1389,2024,CHEVROLET,BLAZER,BEV,Unknown,2024 CHEVROLET BLAZER,873800,127475,53715,0,0,0,324,InsideEVs
benton,46.29696,-119.33836,2024,CHEVROLET,EQUINOX,BEV,Unknown,2024 CHEVROLET EQUINOX,219625,103290,41900,0,0,0,319,Chevrolet Newroom
pierce,47.13795,-122.2988,2025,CHEVROLET,EQUINOX,BEV,Unknown,2025 CHEVROLET EQUINOX,959900,111126,33600,0,0,0,319,Chevrolet
snohomish,48.01497,-122.06402,2025,CHEVROLET,BLAZER,BEV,Unknown,2025 CHEVROLET BLAZER,873800,127475,44600,0,0,0,324,MotorTrend
king,47.54748,-122.00292,2025,CHEVROLET,SILVERADO,BEV,Unknown,2025 CHEVROLET SILVERADO,2411700,154490,57095,0,0,0,492,Chevrolet Newroom
pierce,47.2198,-122.47913,2025,CHEVROLET,BRIGHTDROP,BEV,Unknown,2025 CHEVROLET BRIGHTDROP,959900,111126,67925,0,0,0,272,CarsDirect
king,47.41185,-122.17743,2026,CHEVROLET,SILVERADO,BEV,Unknown,2026 CHEVROLET SILVERADO,2411700,154490,54895,0,0,0,283,Cars.com
jefferson,48.1212,-122.77263,2015,CHEVROLET,VOLT,PHEV,Eligible,2015 CHEVROLET VOLT,33825,98262,34170,0,0,0,38,Edmunds
king,47.75892,-122.24369,2015,CHEVROLET,SPARK,BEV,Eligible,2015 CHEVROLET SPARK,2411700,154490,25170,0,0,0,82,carweek.com
grant,46.96971,-119.04573,2016,CHEVROLET,SPARK,BEV,Eligible,2016 CHEVROLET SPARK,106250,79271,25120,0,0,0,82,Edmunds
king,47.5301,-122.03439,2016,CHEVROLET,VOLT,PHEV,Eligible,2016 CHEVROLET VOLT,2411700,154490,33170,0,0,0,53,Edmunds
king,47.54287,-122.35163,2014,CHEVROLET,VOLT,PHEV,Eligible,2014 CHEVROLET VOLT,2411700,154490,34995,0,0,0,38,MotorTrend
island,48.0399,-122.40618,2014,CHEVROLET,SPARK,BEV,Eligible,2014 CHEVROLET SPARK,88700,105012,26685,0,0,0,82,edmunds.com
benton,46.27391,-119.27372,2017,CHEVROLET,BOLT EV,BEV,Eligible,2017 CHEVROLET BOLT EV,219625,103290,37495,0,0,0,238,Kbb.com
benton,46.27391,-119.27372,2017,CHEVROLET,VOLT,PHEV,Eligible,2017 CHEVROLET VOLT,219625,103290,33220,0,0,0,53,motortrend.com
pierce,47.21584,-122.41249,2013,CHEVROLET,VOLT,PHEV,Eligible,2013 CHEVROLET VOLT,959900,111126,39145,0,0,0,38,autoweb.com
snohomish,47.83785,-122.27734,2012,CHEVROLET,VOLT,PHEV,Eligible,2012 CHEVROLET VOLT,873800,127475,39145,0,0,0,35,Alternative Fuels Data Center
king,47.64085,-122.30207,2011,CHEVROLET,VOLT,PHEV,Eligible,2011 CHEVROLET VOLT,2411700,154490,40280,0,0,0,35,Edmunds
king,47.43473,-122.29179,2023,CHRYSLER,PACIFICA,PHEV,Eligible,2023 CHRYSLER PACIFICA,2411700,154490,50795,0,0,0,32,carweek.com
pierce,47.10424,-122.30855,2025,CHRYSLER,PACIFICA,PHEV,Eligible,2025 CHRYSLER PACIFICA,959900,111126,51055,0,0,0,32,Edmunds
king,47.47532,-122.20489,2024,CHRYSLER,PACIFICA,PHEV,Eligible,2024 CHRYSLER PACIFICA,2411700,154490,50765,0,0,0,32,Edmunds
snohomish,47.89908,-122.29196,2018,CHRYSLER,PACIFICA,PHEV,Eligible,2018 CHRYSLER PACIFICA,873800,127475,46340,0,0,0,33,Car and Driver
king,47.68555,-122.03287,2020,CHRYSLER,PACIFICA,PHEV,Eligible,2020 CHRYSLER PACIFICA,2411700,154490,39995,0,0,0,32,Edmunds
thurston,47.04437,-122.82324,2021,CHRYSLER,PACIFICA,PHEV,Eligible,2021 CHRYSLER PACIFICA,309100,111908,39995,0,0,0,32,Velocity Journal
clallam,48.11892,-123.43112,2017,CHRYSLER,PACIFICA,PHEV,Eligible,2017 CHRYSLER PACIFICA,78650,84546,41995,0,0,0,33,Business2Community
snohomish,48.19471,-122.1264,2022,CHRYSLER,PACIFICA,PHEV,Eligible,2022 CHRYSLER PACIFICA,873800,127475,49000,0,0,0,32,Edmunds
king,47.43473,-122.29179,2024,DODGE,HORNET,PHEV,Eligible,2024 DODGE HORNET,2411700,154490,41400,0,0,0,32,Edmunds
spokane,47.65706,-117.19631,2024,DODGE,CHARGER,BEV,Unknown,2024 DODGE CHARGER,566000,94226,59595,0,0,0,317,Dodge Garage
clark,45.63248,-122.67156,2025,DODGE,CHARGER,BEV,Unknown,2025 DODGE CHARGER,542400,108973,57995,0,0,0,308,autonationdodgerambroadway.com
king,47.30893,-122.00143,2017,FIAT,500,BEV,Eligible,2017 FIAT 500,2411700,154490,32995,0,0,0,84,Cars.com
spokane,47.48928,-117.57445,2016,FIAT,500,BEV,Eligible,2016 FIAT 500,566000,94226,31800,0,0,0,84,Cars.com
pierce,47.23451,-122.53166,2024,FIAT,500E,BEV,Unknown,2024 FIAT 500E,959900,111126,32500,0,0,0,149,MotorDonkey
king,47.57894,-122.41067,2019,FIAT,500,BEV,Eligible,2019 FIAT 500,2411700,154490,33210,0,0,0,84,Edmunds
snohomish,47.8526,-121.98087,2018,FIAT,500,BEV,Eligible,2018 FIAT 500,873800,127475,32995,0,0,0,84,Edmunds
king,47.50006,-122.1805,2014,FIAT,500,BEV,Eligible,2014 FIAT 500,2411700,154490,31800,0,0,0,87,Cars.com
king,47.49461,-122.23825,2015,FIAT,500,BEV,Eligible,2015 FIAT 500,2411700,154490,31800,0,0,0,87,Edmunds
king,47.61001,-122.1872,2013,FIAT,500,BEV,Eligible,2013 FIAT 500,2411700,154490,31800,0,0,0,87,prnewswire.com
king,47.67596,-122.35436,2023,FISKER,OCEAN,BEV,Unknown,2023 FISKER OCEAN,2411700,154490,37499,0,0,0,250,MotorTrend
king,47.54701,-122.36893,2023,FORD,MUSTANG MACH-E,BEV,Unknown,2023 FORD MUSTANG MACH-E,2411700,154490,43795,0,0,0,312,MotorTrend
king,47.54701,-122.36893,2023,FORD,F-150,BEV,Unknown,2023 FORD F-150,2411700,154490,49995,0,0,0,240,carweek.com
king,47.61578,-122.34468,2023,FORD,TRANSIT,BEV,Unknown,2023 FORD TRANSIT,2411700,154490,49995,0,0,0,126,CarMax
king,47.33778,-122.09124,2023,FORD,ESCAPE,PHEV,Eligible,2023 FORD ESCAPE,2411700,154490,38500,0,0,0,37,Webb Ford
king,47.68156,-122.31676,2025,FORD,MUSTANG MACH-E,BEV,Unknown,2025 FORD MUSTANG MACH-E,2411700,154490,39990,0,0,0,260,Kbb.com
snohomish,47.83448,-122.21061,2024,FORD,F-150,BEV,Unknown,2024 FORD F-150,873800,127475,62665,0,0,0,240,MotorDonkey
grant,47.31909,-119.55096,2024,FORD,ESCAPE,PHEV,Eligible,2024 FORD ESCAPE,106250,79271,40500,0,0,0,37,stottsford.com
king,47.60357,-122.32945,2024,FORD,TRANSIT,BEV,Unknown,2024 FORD TRANSIT,2411700,154490,49995,0,0,0,159,butlerford.com
king,47.75892,-122.24369,2025,FORD,F-150,BEV,Unknown,2025 FORD F-150,2411700,154490,49780,0,0,0,240,MotorTrend
thurston,47.04437,-122.82324,2025,FORD,TRANSIT,BEV,Unknown,2025 FORD TRANSIT,309100,111908,51000,0,0,0,159,from the road.com
snohomish,47.89251,-122.18637,2025,FORD,ESCAPE,PHEV,Eligible,2025 FORD ESCAPE,873800,127475,38400,0,0,0,37,stottsford.com
king,47.63131,-122.11867,2018,FORD,FUSION,PHEV,Not eligible,2018 FORD FUSION,2411700,154490,33400,0,0,0,21,afdc.energy.gov
pierce,47.06512,-122.41046,2016,FORD,FUSION,PHEV,Not eligible,2016 FORD FUSION,959900,111126,33900,0,0,0,19,Edmunds
kitsap,47.73689,-122.64681,2016,FORD,C-MAX,PHEV,Not eligible,2016 FORD C-MAX,288900,114590,31770,0,0,0,19,Edmunds
king,47.66127,-122.31307,2016,FORD,FOCUS,BEV,Eligible,2016 FORD FOCUS,2411700,154490,29170,0,0,0,76,Edmunds
pierce,47.15258,-122.43828,2015,FORD,C-MAX,PHEV,Not eligible,2015 FORD C-MAX,959900,111126,31770,0,0,0,19,Edmunds
king,47.60357,-122.32945,2015,FORD,FUSION,PHEV,Not eligible,2015 FORD FUSION,2411700,154490,34800,0,0,0,19,Edmunds
king,47.3074,-122.23035,2015,FORD,FOCUS,BEV,Eligible,2015 FORD FOCUS,2411700,154490,29170,0,0,0,76,edmunds.com
king,47.33778,-122.09124,2017,FORD,FUSION,PHEV,Not eligible,2017 FORD FUSION,2411700,154490,33120,0,0,0,21,carweek.com
king,47.72201,-122.22901,2017,FORD,FOCUS,BEV,Eligible,2017 FORD FOCUS,2411700,154490,29120,0,0,0,100,autoevolution
king,47.72201,-122.22901,2017,FORD,C-MAX,PHEV,Not eligible,2017 FORD C-MAX,2411700,154490,27120,0,0,0,20,Cars.com
pierce,47.09583,-122.62954,2013,FORD,C-MAX,PHEV,Not eligible,2013 FORD C-MAX,959900,111126,31665,0,0,0,19,avt.inl.gov
