Model,Base Price,Dest. Charge,Tax Credit,Effective Price,EPA range (miles)
2024 Chevrolet Equinox EV 2RS AWD,"$48,095 ","$1,395 ","$7,500 ","$41,990 ",285.0
2024 Nissan Ariya Venture+ FWD,"$41,190 ","$1,140 ",$0 ,"$42,330 ",304.0
2025 Hyundai Kona Electric Limited,"$41,050 ","$1,395 ",$0 ,"$42,445 ",261.0
2024 Chevrolet Equinox EV 3LT AWD,"$48,595 ","$1,395 ","$7,500 ","$42,490 ",285.0
2024 Volkswagen ID.4 AWD Pro,"$48,755 ","$1,425 ","$7,500 ","$42,680 ",263.0
2024 Chevrolet Blazer EV LT AWD,"$48,800 ","$1,395 ","$7,500 ","$42,695 ",279.0
2024 Hyundai Ioniq 5 SE Standard Range RWD,"$41,800 ","$1,395 ",$0 ,"$43,195 ",220.0
2024 Hyundai Ioniq 6 SE RWD,"$42,450 ","$1,150 ",$0 ,"$43,600 ",361.0
2024 Volkswagen ID.4 Pro S,"$49,995 ","$1,425 ","$7,500 ","$43,920 ",291.0
2024 Kia EV6 Light RWD,"$42,600 ","$1,375 ",$0 ,"$43,975 ",232.0
2024 Chevrolet Equinox EV 3RS AWD,"$50,095 ","$1,395 ","$7,500 ","$43,990 ",285.0
2024 Honda Prologue EX AWD,"$50,400 ","$1,395 ","$7,500 ","$44,295 ",281.0
2024 Toyota bZ4X XLE FWD,"$43,070 ","$1,395 ",$0 ,"$44,465 ",252.0
2024 Nissan Ariya Engage e-4ORCE AWD,"$43,590 ","$1,140 ",$0 ,"$44,730 ",205.0
2024 Nissan Ariya Evolve+ FWD,"$44,190 ","$1,140 ",$0 ,"$45,330 ",289.0
2024 Tesla Model Y Performance AWD,"$51,490 ","$1,390 ","$7,500 ","$45,380 ",279.0
2024 Ford Mustang Mach-E Select AWD 72 kWh,"$43,495 ","$1,995 ",$0 ,"$45,490 ",230.0
2024 Honda Prologue Touring RWD,"$51,700 ","$1,395 ","$7,500 ","$45,595 ",296.0
2024 Kia Niro EV Wave,"$44,600 ","$1,375 ",$0 ,"$45,975 ",253.0
2024 Ford Mustang Mach-E Premium RWD 72 kWh,"$43,995 ","$1,995 ",$0 ,"$45,990 ",250.0
2024 VinFast VF8 Eco,"$46,000 ",$0 ,$0 ,"$46,000 ",264.0
2024 Mini Countryman SE ALL4 18-inch,"$45,200 ",$995 ,$0 ,"$46,195 ",212.0
2024 Nissan Ariya Engage+ e-4ORCE AWD,"$45,190 ","$1,140 ",$0 ,"$46,330 ",272.0
2024 Subaru Solterra Premium,"$44,995 ","$1,345 ",$0 ,"$46,340 ",227.0
2024 Hyundai Ioniq 6 SEL RWD,"$45,250 ","$1,150 ",$0 ,"$46,400 ",305.0
2024 Toyota bZ4X XLE AWD,"$45,150 ","$1,395 ",$0 ,"$46,545 ",228.0
2024 Mini Countryman SE ALL4 19-inch,"$45,800 ",$995 ,$0 ,"$46,795 ",204.0
2025 Chevrolet Blazer EV RS AWD,"$52,900 ","$1,395 ","$7,500 ","$46,795 ",283.0
2025 Cadillac Optiq Luxury 1 AWD (estimated range),"$52,895 ","$1,495 ","$7,500 ","$46,890 ",300.0
2024 Chevrolet Blazer EV RS AWD,"$53,200 ","$1,395 ","$7,500 ","$47,095 ",279.0
2024 Hyundai Ioniq 6 SE AWD,"$45,950 ","$1,150 ",$0 ,"$47,100 ",316.0
2024 Hyundai Ioniq 5 SE RWD,"$45,850 ","$1,395 ",$0 ,"$47,245 ",303.0
2024 Kia EV6 Light Long Range RWD,"$45,950 ","$1,375 ",$0 ,"$47,325 ",310.0
2025 Cadillac Optiq Sport 1 AWD (estimated range),"$53,495 ","$1,495 ","$7,500 ","$47,490 ",300.0
2024 Volkswagen ID.4 AWD Pro S,"$53,875 ","$1,425 ","$7,500 ","$47,800 ",263.0
2024 Chevrolet Blazer EV RS RWD,"$54,200 ","$1,395 ","$7,500 ","$48,095 ",324.0
2024 Toyota bZ4X Limited FWD,"$47,180 ","$1,395 ",$0 ,"$48,575 ",236.0
2024 Honda Prologue Touring AWD,"$54,700 ","$1,395 ","$7,500 ","$48,595 ",281.0
2024 Hyundai Ioniq 5 SEL RWD,"$47,400 ","$1,395 ",$0 ,"$48,795 ",303.0
2024 Nissan Ariya Empower+ FWD,"$47,690 ","$1,140 ",$0 ,"$48,830 ",289.0
2024 Tesla Model 3 Performance AWD,"$54,990 ","$1,390 ","$7,500 ","$48,880 ",303.0
2024 Ford Mustang Mach-E Select AWD 91 kWh,"$46,995 ","$1,995 ",$0 ,"$48,990 ",400.0
2024 Ford Mustang Mach-E Premium AWD 72 kWh,"$46,995 ","$1,995 ",$0 ,"$48,990 ",230.0
2024 Ford Mustang Mach-E Premium RWD 91 kWh,"$46,995 ","$1,995 ",$0 ,"$48,990 ",320.0
2025 Cadillac Optiq Luxury 2 AWD (estimated range),"$55,095 ","$1,495 ","$7,500 ","$49,090 ",300.0
2024 Nissan Ariya Evolve+ e-4ORCE AWD,"$48,190 ","$1,140 ",$0 ,"$49,330 ",272.0
2025 Cadillac Optiq Sport 2 AWD (estimated range),"$55,595 ","$1,495 ","$7,500 ","$49,590 ",300.0
2024 Subaru Solterra Limited,"$48,495 ","$1,345 ",$0 ,"$49,840 ",222.0
2024 Hyundai Ioniq 6 SEL AWD,"$48,750 ","$1,150 ",$0 ,"$49,900 ",270.0
2024 Kia EV6 Wind RWD,"$48,700 ","$1,375 ",$0 ,"$50,075 ",310.0
2024 Toyota bZ4x Limited AWD,"$49,260 ","$1,395 ",$0 ,"$50,655 ",222.0
2024 Hyundai Ioniq 5 SE AWD,"$49,350 ","$1,395 ",$0 ,"$50,745 ",260.0
2024 Kia EV6 Light Long Range AWD,"$49,850 ","$1,375 ",$0 ,"$51,225 ",282.0
2024 Hyundai Ioniq 6 Limited RWD,"$50,150 ","$1,150 ",$0 ,"$51,300 ",305.0
2025 Polestar 2 Long Range Single Motor RWD,"$49,900 ","$1,400 ",$0 ,"$51,300 ",320.0
2024 Honda Prologue Elite AWD,"$57,900 ","$1,395 ","$7,500 ","$51,795 ",273.0
2024 VinFast VF8 Plus,"$51,800 ",$0 ,$0 ,"$51,800 ",243.0
2024 Ford Mustang Mach-E Premium AWD 91 kWh,"$49,995 ","$1,995 ",$0 ,"$51,990 ",300.0
2024 Hyundai Ioniq 5 SEL AWD,"$50,900 ","$1,395 ",$0 ,"$52,295 ",260.0
2024 Cadillac Lyriq Tech RWD,"$58,590 ","$1,395 ","$7,500 ","$52,485 ",314.0
2024 Ford E-Transit Cutaway,"$51,095 ","$2,095 ",$0 ,"$53,190 ",
2024 Subary Solterra Touring,"$51,995 ","$1,345 ",$0 ,"$53,340 ",222.0
2024 BMW i4 eDrive35 Gran Croupe,"$52,200 ","$1,175 ",$0 ,"$53,375 ",276.0
2025 Genesis GV60 Standard RWD,"$52,350 ","$1,250 ",$0 ,"$53,600 ",294.0
2024 Ford E-Transit Chassis Cab,"$51,595 ","$2,095 ",$0 ,"$53,690 ",
2024 Volvo EX40 (XC40 Recharge) Core RWD,"$52,450 ","$1,295 ",$0 ,"$53,745 ",293.0
